complex_id,aptNm,umdNm,jibun,lat,lon,n_trades,mean_price_per_m2,excluUseAr,floor,building_age,MDD,CV,neighbor_price_level,neighbor_dist_km,neighbor_momentum_3m
84,가우디트윈캐슬1,장안동,374-9,37.5682947364262,127.06844620691,10,741.9207669071283,45.754,11.3,9.0,0.15662650602409636,0.1042741705499568,658.6819537458339,0.12773582035907619,1.228855550285668
86,현대홈타운2차,장안동,569,37.5685273372694,127.07154655304,33,857.7851026426129,85.25484848484848,6.424242424242424,20.0,0.2275902684700054,0.15638316204960462,706.3063704101587,0.11989200173753918,-4.35398134174455
88,한강훼미리주상복합아파트,장안동,381-3,37.568601417413,127.068165655118,33,606.7478602703511,80.6139393939394,9.424242424242424,16.0,0.12657317511686453,0.15188772990865781,685.7165350731893,0.11191294902907879,0.7673386307414543
90,답십리엘림퍼스트,답십리동,1015,37.5688626600289,127.056475933607,41,1242.7338661138892,52.77148048780487,7.073170731707317,5.0,0.21917808219178084,0.07466873784234236,1099.991682350767,0.3060888293027275,-10.21744887299434
91,시온,장안동,393-8,37.5688976780158,127.066563328894,15,872.1510752034644,64.17066666666666,5.266666666666667,1.0,0.029265351163486494,0.03977224038057299,654.4402830685992,0.20146250170628952,-11.98771799399012
92,태솔아파트2차,장안동,346-2,37.5689663103654,127.070785744701,11,669.2869357822832,59.27545454545455,7.7272727272727275,9.0,0.08330186259280907,0.13652177279420608,729.9950695784822,0.08228190930741362,9.55304269319126
93,청계푸르지오시티,답십리동,497-23,37.5689685801361,127.050596840747,157,860.4511832438178,21.84993630573249,12.535031847133759,10.0,0.45456151149409907,0.2002711239488078,895.1047377776407,0.1795010118890653,-4.496330965730477
95,현대썬앤빌601,장안동,373-3,37.5691800617318,127.06936015395,53,610.8211599412056,18.45301886792453,11.150943396226415,10.0,0.35714285714285715,0.08616756435422022,629.6736871922337,0.07674164774716478,-20.93148854530309
96,태솔아파트3차,장안동,346-1,37.5692589301709,127.070974942794,14,781.7926792808952,58.447142857142865,9.285714285714286,7.0,0.0643325284580889,0.12580032239243677,734.4176890566657,0.08280632070138508,9.92951011226626
97,서희스타힐스,장안동,365-4,37.5692905479454,127.070535892189,60,669.4845581378587,72.08633333333333,11.666666666666666,12.0,0.47871713534199567,0.17642528034076282,669.3145591129403,0.07522792953337411,-3.2919920298671745
98,두산,답십리동,990,37.5693117654531,127.060205006732,224,964.0597338232807,77.85754464285716,10.352678571428571,25.0,0.44931092913298376,0.19708669029279172,1132.4958215599486,0.23039725668560243,1.6319762017147577
99,동아,답십리동,10,37.569342253763,127.061708365604,196,898.1334373714878,81.65418367346939,10.270408163265307,24.0,0.42064321374666197,0.18342745343168532,1065.4489673225091,0.21653140289233147,-1.235713161780394
100,태솔아파트1차,장안동,382-5,37.5694311585475,127.068607303833,18,740.2560125660806,57.87277777777778,9.166666666666666,9.0,0.19632834958249049,0.12792796570869483,591.2393770937572,0.08133930663323136,-11.34746859737563
101,가야써니빌(373-7),장안동,373-7,37.5696018595628,127.069288779614,15,463.4336607480683,104.75,10.866666666666667,23.0,0.1426889877059899,0.1260849478212732,641.6409617451668,0.05504390439299011,-4.988947314869008
103,장안현대홈타운(336),장안동,336,37.569725659288,127.074606226438,491,1059.3247809218112,83.20344195519348,12.670061099796333,22.0,0.3843449210354172,0.21022672914258345,638.1293333619278,0.23350645449816287,39.11336401054124
104,양우내안애애플,장안동,373-1,37.5697552191874,127.069730495308,24,702.7385888509313,15.3388,4.083333333333333,11.0,0.5058823529411764,0.18580467603957604,579.6256852389498,0.061801738006241766,-15.447838549630887
106,청계벽산메가트리움,답십리동,999,37.5698611275083,127.049698222216,26,1001.8093958379517,68.59423076923078,10.73076923076923,19.0,0.36842919239696914,0.19295138655680613,920.1632681492562,0.10523569769931791,-2.963242989765358
108,제이드파크(382-2),장안동,382-2,37.5699273646072,127.069023072328,17,572.4556156582302,31.287647058823527,8.294117647058824,11.0,0.5533924992842829,0.25013296487088266,619.8365707631344,0.06922109244068217,-3.2652151293082854
109,삼희,답십리동,530-5,37.5700059530175,127.050463971945,17,851.0526148396714,61.61294117647059,6.294117647058823,42.0,0.45383713136729226,0.20522507362847972,950.3146243489122,0.12032219935555444,-4.184187025353914
110,장안뉴시티,장안동,372-5,37.5700890006172,127.069945877911,59,581.9334317093862,17.601186440677967,9.847457627118644,13.0,0.2850069523673702,0.08872060641517868,620.7277013278317,0.0756692325825204,-11.670731035587846
111,청계지웰에스테이트,답십리동,498-7,37.5701711462039,127.049516636038,61,737.9196235497878,19.49131147540984,10.754098360655737,13.0,0.2571428571428572,0.07753519281521194,972.9412226068889,0.1081011171813093,-1.2281929641627554
112,코지언레지던스,장안동,345-10,37.5702480720383,127.071523635527,28,772.7932598696428,13.241071428571427,5.607142857142857,12.0,0.04001125690364795,0.041104052914657074,644.2225957327155,0.1240587685276512,-14.11989066927154
114,청계천대성스카이렉스2,용두동,255-66,37.5703397413814,127.029907259076,32,909.3900753029768,84.99,10.96875,18.0,0.2654774396642182,0.14812220830801495,1252.4742486528294,0.30342800820401555,6.7705129443508705
115,보광타워,답십리동,530-4,37.5703573103131,127.050113414896,60,970.6332224378597,20.309833333333337,11.083333333333334,6.0,0.31345147068953627,0.07923124147765442,926.3985028292745,0.11464342298419693,-8.12978827218701
119,청계한양아이클래스,용두동,255-49,37.5707285208484,127.028449104364,19,1305.2849903020153,14.812631578947371,17.68421052631579,6.0,0.1666666666666666,0.041741142769776425,1173.2952656530217,0.2557622572668107,5.977691861117673
120,청명에버아트3차,장안동,372-8,37.5707974761804,127.070058944643,15,774.0433031218529,52.960000000000015,11.266666666666667,8.0,0.06914893617021275,0.1133982867948791,588.7869472450551,0.0561784537833454,11.483307167972367
121,동답한신,답십리동,42,37.5708103275802,127.062579152969,167,987.741137884398,47.71395209580838,7.485029940119761,33.0,0.6408995517057514,0.20465240618926114,876.649558543905,0.2326903943570487,1.3388773789469788
122,한원힐트리움아파트,답십리동,465-55,37.5708339554216,127.047451802393,12,1180.759696675144,36.6,5.083333333333333,5.0,0.18933396916229564,0.07199469638467368,1183.1618378335445,0.18937334789113527,1.460925416172909
124,대림,답십리동,808,37.5709181082427,127.063717776024,55,841.5732984748997,82.23763636363634,9.218181818181819,22.0,0.28630952380952385,0.1999113064377599,875.6479204068701,0.26646552479994184,-0.5060054005473713
125,청솔아파트(B동),장안동,372-16,37.5709259988426,127.07014203825,11,590.9673382600758,57.69727272727271,7.818181818181818,10.0,0.03693931398416878,0.15377517303661142,625.4021402174105,0.052417369121320244,11.483307167972367
127,르메이에르장안타운3차,장안동,337-3,37.5709493499126,127.073522682238,13,649.5250315478814,79.17153846153845,7.076923076923077,20.0,0.24829251059821006,0.18638840989321204,720.0892832367138,0.11365762335377792,0.756968375946454
128,선일크라시아,장안동,344-5,37.5709580635668,127.072251377531,10,553.710330102318,64.636,10.3,17.0,0.240209752791353,0.19093750614442248,681.9459193153928,0.07964044857866144,
129,르메이에르장안타운6차,장안동,342-3,37.5709810095615,127.072739391257,12,648.551577955723,84.91999999999999,7.166666666666667,20.0,0.12307692307692314,0.15263346764837565,662.9776697447118,0.07803488140176144,39.11336401054124
133,청솔아파트(A동),장안동,372-9,37.5710674882904,127.070237709182,10,711.0861958544941,52.230999999999995,7.0,10.0,0.20200840994399064,0.09649110641811709,601.3783686985269,0.05708346672936866,7.560814743969524
138,공감대6차(384-1),장안동,384-1,37.5711945595214,127.069729573262,13,509.5751731058151,99.47923076923077,9.923076923076923,20.0,0.3043754213119005,0.21069210613818595,641.6805732482628,0.06508476456261106,11.483307167972367
140,르메이에르1차(344-1),장안동,344-1,37.5712482140011,127.072202303825,15,567.5738331867826,96.13066666666667,8.133333333333333,21.0,0.35177588574946467,0.1936016356331132,679.1732186984999,0.08485032394604726,64.59672974462612
141,포레스트힐시티,신설동,100-26,37.5712716688758,127.026388440991,18,1098.7396767313774,14.982222222222223,17.666666666666668,7.0,0.3644769985416943,0.09223585641166565,1214.6043283671493,0.3099973033288037,3.539872145569145
146,동서울한양,답십리동,41,37.5714096375794,127.060391546906,164,807.3302478463921,67.73378048780488,7.445121951219512,36.0,0.4171779141104297,0.14490865268934233,941.9694928242194,0.2674617596621941,0.5133674801897525
147,힐스테이트청계,답십리동,1009,37.5714539539342,127.047167730267,250,1769.5727108674034,66.32136,14.288,7.0,0.48728035132709374,0.14150035435654224,1065.3992349950927,0.20776088278573135,1.0625713724838226
151,이편한세상청계센트럴포레,용두동,795,37.5716477982277,127.029219765505,126,1882.8797462657549,72.58738095238094,13.944444444444445,4.0,0.34408411815362067,0.13301588239438983,1057.7763144602736,0.25988476727203697,-0.4084233788579805
152,장안삼성쉐르빌,장안동,371-1,37.5716707486031,127.069859628795,65,550.3725972955046,115.81830769230768,17.692307692307693,23.0,0.551622418879056,0.1828578337988849,633.5210884103248,0.09805475850581918,
155,태솔아파트4차,장안동,335-10,37.5717420154333,127.072990072535,28,771.2858940169341,54.39714285714286,9.642857142857142,6.0,0.28096213536625325,0.09576032424596223,638.4308065324697,0.11902109630777866,13.62999827645639
156,금강아미움,장안동,574,37.5717796908307,127.067673649867,12,673.98464658501,84.08416666666666,4.583333333333333,18.0,0.15062420354651287,0.14586319716132504,599.4828054882958,0.219529914032609,-3.683472694534473
158,청계천대성스카이렉스1,신설동,109-13,37.5719992994831,127.02391225637,26,951.049732477825,77.44153846153846,12.615384615384615,18.0,0.22555381965308668,0.08713574831691813,1244.1423172178597,0.48609183105922127,9.107815555274644
159,래미안위브,답십리동,1003,37.5720377764558,127.053951855019,736,1522.6897464912004,81.71302989130434,8.490489130434783,11.0,0.4523596772832947,0.19842270161133752,1153.1171655347414,0.33748812392980065,2.955143528727766
161,청계한신휴플러스,답십리동,1002,37.5723553121327,127.046019329585,206,1435.8742364747206,75.28961165048544,11.08252427184466,15.0,0.31933949309974735,0.1505865435325517,1265.1160391598778,0.1987700663258457,12.108597672748722
163,신답극동,답십리동,464-1,37.5726924675573,127.044123220013,73,1068.4075400920856,67.47780821917809,9.246575342465754,38.0,0.6309416137891846,0.2750572404934802,1287.0997390101186,0.22784414805546552,5.940000109989696
164,신동아,용두동,779,37.5726984528527,127.032314709479,194,1024.4170974871743,65.49618556701031,8.190721649484535,31.0,0.5911499215070644,0.18699294713097286,1353.9926995978162,0.3666936028452907,6.544148185962606
166,용두두산위브,용두동,791,37.5734290181702,127.036216935229,125,1251.984226443478,77.95783999999999,11.312,16.0,0.4173465423465424,0.17405204649064515,1176.3238997958838,0.40756620429490015,5.0841149000385055
167,답십리대우,답십리동,111,37.5734698133483,127.053366848512,89,1051.6807767467153,79.6549438202247,13.932584269662922,23.0,0.4135747265509609,0.1804980007885751,1393.090081648174,0.3214420676549185,-2.1612710389995793
169,세양청마루,답십리동,997,37.5736828896399,127.065549232177,35,812.8837037286085,84.98,9.771428571428572,20.0,0.2749691738594327,0.1291317817332954,872.2813594228217,0.278692899859177,7.674818257355875
170,청계와이즈노벨리아,답십리동,1008,37.5738448537072,127.04504116911,35,1254.5825687703789,71.03501714285713,7.771428571428571,8.0,0.2721525630596391,0.09121395916519848,1249.86473327446,0.17994744091100434,12.542502624779562
172,한신휴플러스그린파크,답십리동,1001,37.5739044995154,127.049753887285,47,1205.3582981278162,69.25063829787236,5.191489361702128,15.0,0.26097433486271615,0.1496195500761514,1535.8933734042337,0.32185444654479434,1.1046285367578124
174,래미안장안2차,장안동,329-3,37.5739643441634,127.075387468834,443,1083.6628577432562,81.32277652370203,12.584650112866818,18.0,0.3515848052340301,0.1856821579651582,835.0510902708165,0.29184167769692,-15.374694289103974
176,래미안미드카운티,답십리동,1013,37.5744246920538,127.056267653451,233,1649.4853475355717,74.35515021459227,9.540772532188841,6.0,0.498273432823336,0.13616393530732068,1075.7471201025226,0.3444940832105283,-8.606138485938143
177,답십리청솔우성,답십리동,80,37.5744481574591,127.059673242852,255,1018.3398565670311,77.88176470588235,11.407843137254902,25.0,0.5411127871059243,0.21063230632695484,1038.8733366999986,0.29129851439883137,-5.540252231327136
180,현대홈타운3차,장안동,571,37.5746981267463,127.073074803044,30,847.1985703752312,82.39300000000003,6.2,19.0,0.2974183122085266,0.16012721272211028,982.634143601598,0.2389497328535986,-6.184191988523969
181,신답경남,답십리동,645-8,37.5747568063894,127.044656716439,39,923.2114995437133,72.7707692307692,8.23076923076923,34.0,0.36684520884520877,0.15641017726259723,1329.1332114658042,0.20912495032754597,13.775364777030163
