complex_id,slope_mean_100m,slope_median_100m,slope_stdev_100m,slope_min_100m,slope_max_100m,slope_range_100m,slope_mean_150m,slope_median_150m,slope_stdev_150m,slope_min_150m,slope_max_150m,slope_range_150m,slope_mean_200m,slope_median_200m,slope_stdev_200m,slope_min_200m,slope_max_200m,slope_range_200m,slope_mean_300m,slope_median_300m,slope_stdev_300m,slope_min_300m,slope_max_300m,slope_range_300m,school_pc1,straight_dist_m,walk_dist_m,walk_time_min,avg_daily_ridership,station_zone_ord,unit_cnt,trade_activity_ratio,n_quarters
218,13.1432919502258,13.1428780555725,0.0975862067983992,13.0173587799072,13.2700529098511,0.252694129943848,13.2068069458008,13.234224319458,0.165084204914076,12.9907875061035,13.5150337219238,0.524246215820312,13.1899086407253,13.234224319458,0.30829044063814,12.3406496047974,13.650369644165,1.30972003936768,13.190929800272,13.1695055961609,0.515593703072908,12.238808631897,14.6136980056763,2.3748893737793,-2.5452656751804144,1840.9,2301.1,29,24180.0,4,36.0,0.14285714285714285,28
219,20.3888916969299,20.4940881729126,1.784719271529,18.2122573852539,22.3551330566406,4.14287567138672,21.0097601413727,20.9385919570923,2.36756760002026,18.2122573852539,25.7207584381104,7.50850105285645,19.6978876590729,18.5881290435791,2.26513061130508,17.284610748291,25.7207584381104,8.43614768981934,19.8293575831822,18.5608882904053,3.55421356207982,13.2324771881104,27.6835651397705,14.4510879516602,-3.709637895313868,209.7,262.1,4,18620.0,1,385.0,0.8571428571428571,28
220,21.9563617706299,21.7967910766602,1.59466378367671,20.0879859924316,23.9843082427979,3.89632225036621,20.6794893741608,20.3281364440918,3.01090818535123,16.3514404296875,25.9925079345703,9.64106750488281,20.2966856002808,20.0879859924316,3.33957720478114,14.6569852828979,25.9925079345703,11.3355226516724,19.2926973887852,17.5899314880371,3.97095534700485,14.2047462463379,31.6309013366699,17.426155090332,-0.1354576263113687,224.5,280.6,4,16510.0,1,62.0,0.35714285714285715,28
221,17.6965515613556,17.7804670333862,2.35759969438105,14.6569852828979,20.568286895752,5.911301612854,19.1929909388224,19.3188419342041,2.88393803975688,14.6569852828979,23.9843082427979,9.3273229598999,19.2631405512492,17.4416980743408,3.54364787338209,14.2047462463379,25.9925079345703,11.7877616882324,18.8876746041434,17.3836231231689,4.06005355256736,14.2047462463379,31.6309013366699,17.426155090332,-0.1354576263113687,130.8,163.5,3,16510.0,1,28.0,0.25,28
222,14.6089694499969,14.6458106040955,0.182286218939202,14.3205261230469,14.82373046875,0.503204345703125,14.5325267314911,14.48974609375,0.15493756909499,14.3205261230469,14.82373046875,0.503204345703125,15.1768648147583,14.5523881912231,1.21592575732197,14.1577806472778,17.4673042297363,3.3095235824585,15.5949362814426,14.5915517807007,1.80801562020367,13.2324771881104,19.9487113952637,6.71623420715332,-3.709637895313868,306.1,382.6,5,18620.0,1,,0.25,28
223,22.5408325195312,22.7543182373047,2.97287913012482,18.6621856689453,25.9925079345703,7.330322265625,21.46173620224,20.4023952484131,2.87237477854481,17.5438785552979,25.9925079345703,8.44862937927246,21.0933599472046,20.4023952484131,3.25329947381991,16.3514404296875,27.1259689331055,10.774528503418,20.6163706218495,19.9475526809692,3.48630363773222,15.9144144058228,31.6309013366699,15.7164869308472,-0.1354576263113687,362.7,453.4,6,16510.0,2,311.0,0.6785714285714286,28
224,16.8002769470215,16.9263801574707,0.480668724533941,16.2420921325684,17.4566783905029,1.21458625793457,16.5636411243015,16.6418972015381,0.809790915246669,14.6569852828979,17.4566783905029,2.79969310760498,17.0978371500969,16.7980375289917,1.76573954307473,14.6569852828979,21.6879062652588,7.03092098236084,17.1574528410628,16.3308048248291,2.74323018872146,14.2047462463379,24.6315727233887,10.4268264770508,-0.1095236325340667,134.7,168.4,3,16510.0,1,228.0,0.4642857142857143,28
225,12.6784160137177,12.6755809783936,0.312017343208749,12.3406496047974,13.0218524932861,0.68120288848877,12.8541088104248,12.9734377861023,0.314847599390978,12.3406496047974,13.3327198028564,0.992070198059082,12.9062863032023,12.9560880661011,0.310731068709284,12.3406496047974,13.3893251419067,1.04867553710938,13.1175853312016,13.0791239738464,0.497158596690894,12.3406496047974,14.6914482116699,2.35079860687256,0.5674945955031078,1678.2,2097.8,27,24180.0,4,300.0,0.8214285714285714,28
226,19.9010419845581,19.8530225753784,0.246754132032169,19.6314811706543,20.2666416168213,0.635160446166992,19.7534124851227,19.7386264801025,0.29957157137342,19.1783504486084,20.2666416168213,1.08829116821289,19.6888747215271,19.7386264801025,0.606390074798969,18.1928234100342,20.7168045043945,2.52398109436035,20.7793399265834,19.9143867492676,3.04149384630502,16.5432662963867,32.7761878967285,16.2329216003418,-0.1354576263113687,566.6,708.2,9,6188.0,2,1048.0,0.42857142857142855,28
227,23.4345957438151,23.9843082427979,1.26304682621908,21.6879062652588,24.6315727233887,2.94366645812988,24.4134426116943,24.3079404830933,3.21910958534289,20.568286895752,31.6309013366699,11.062614440918,22.535848236084,21.7967910766602,3.81166142044159,16.2420921325684,31.6309013366699,15.3888092041016,20.6897532599313,20.4110221862793,3.85846626035051,14.2047462463379,31.6309013366699,17.426155090332,-0.1354576263113687,261.1,326.3,5,16510.0,1,12.0,0.10714285714285714,28
228,24.9926514625549,23.3258991241455,3.99854336042975,21.6879062652588,31.6309013366699,9.94299507141113,23.3445913791656,23.0022668838501,3.87094244211853,17.4416980743408,31.6309013366699,14.1892032623291,22.6984790802002,22.0202255249023,4.06395986357849,16.2420921325684,31.6309013366699,15.3888092041016,21.1840860366821,21.1772880554199,3.75007246348394,14.6569852828979,31.6309013366699,16.973916053772,-0.1354576263113687,266.8,333.5,5,16510.0,1,14.0,0.21428571428571427,28
229,25.6855530738831,24.7117023468018,3.64821730310493,21.6879062652588,31.6309013366699,9.94299507141113,24.7148344251845,24.6315727233887,3.15245227290985,20.568286895752,31.6309013366699,11.062614440918,23.2127493690042,22.0202255249023,3.49917009123953,17.3836231231689,31.6309013366699,14.247278213501,21.2801299231393,20.7168045043945,3.63232817541308,14.6569852828979,31.6309013366699,16.973916053772,-0.1354576263113687,302.2,377.7,5,16510.0,1,10.0,0.2857142857142857,28
